Data,Da,Account IG,Nome,Comune,Segmento,Tipo,Lista
2026-09-03,Patrick Sappa,@_.the.ink.paradise._,The Ink Paradise,Saronno (VA),Tattoo/piercing,primo,lista-corrente.csv
2026-09-03,Patrick Sappa,@_sebastianfiori_,Sebastian Fiori,Treviglio (BG),Fiorista/wedding,primo,lista-corrente.csv
2026-09-03,Patrick Sappa,@adelis_beauty_gallarate,AdeliS Beauty,Gallarate (VA),Nail/sopracciglia,primo,lista-corrente.csv
2026-09-03,Patrick Sappa,@arnaldo_bel_fiore_tattooartist,Arnaldo Bel Fiore,Varese centro (VA),Tattoo,primo,lista-corrente.csv
2026-09-03,Patrick Sappa,@arotattoo,Aro Tattoo / Redant,Saronno (VA),Tattoo,primo,lista-corrente.csv
2026-09-03,Patrick Sappa,@artemtattooatelier,Artem Tattoo Studio,Varese (VA),Tattoo,primo,lista-corrente.csv
2026-09-03,Patrick Sappa,@barbershop.tradate.bandidos,Barber Shop Bandidos,Tradate (VA),Barber,primo,lista-corrente.csv
2026-09-03,Patrick Sappa,@beauty.and.charme,Beauty & Charme,Castiglione Olona (VA),Estetica,primo,lista-corrente.csv
2026-09-03,Patrick Sappa,@beauty_unique_va,Beauty Unique,Varese (VA),Ciglia/sopracciglia,primo,lista-corrente.csv
2026-09-03,Patrick Sappa,@beautyfarm_appianogentile,Beauty Farm,Appiano Gentile (CO),Estetica,primo,lista-corrente.csv
2026-09-03,Patrick Sappa,@beautyzone_olgiatecomasco,BeautyZone,Olgiate Comasco (CO),Estetica/parrucchieri,recupero,lista del 12/09/2026
2026-09-03,Patrick Sappa,@belindatattoo_,Belinda - fineline botanical,Lecco (LC),Tattoo,primo,lista-corrente.csv
2026-09-03,Patrick Sappa,@betty_style_lurate_caccivio,Betty Style,Lurate Caccivio (CO),Parrucchieri,primo,lista-corrente.csv
2026-09-03,Patrick Sappa,@biumotattooclub,Biumo Tattoo Club,Varese (VA),Tattoo/piercing,primo,lista-corrente.csv
2026-09-03,Patrick Sappa,@blackblood_studiotattoo,Black Blood Tattoo & Piercing,Olgiate Comasco (CO),Tattoo/piercing,primo,lista-corrente.csv
2026-09-03,Patrick Sappa,@blackstar_parrucchiere,Black Star,Gerenzano (VA),Parrucchieri,primo,lista-corrente.csv
2026-09-03,Patrick Sappa,@christiannapolitatt,Christian Napoli - Light Ink,Saronno (VA),Tattoo,primo,lista-corrente.csv
2026-09-03,Patrick Sappa,@cindy.tattoo,Cinzia Farumi - realistico,Galbiate (LC) DA CONFERMARE,Tattoo,primo,lista-corrente.csv
2026-09-03,Patrick Sappa,@cinzia_estetica_osnago,Cinzia Estetica e Parrucchieri,Osnago (LC),Estetica/parrucchieri,primo,lista-corrente.csv
2026-09-03,Patrick Sappa,@club_parrucchieri_treviglio_,Club Parrucchieri,Treviglio (BG),Parrucchieri,primo,lista-corrente.csv
2026-09-03,Patrick Sappa,@colorstattoovarese,Colors Tattoo Shop,Varese (VA),Tattoo/piercing,primo,lista-corrente.csv
2026-09-03,Patrick Sappa,@diamond_gallarate,Diamond Beauty Studio,Gallarate (VA),Nail/ciglia,primo,lista-corrente.csv
2026-09-03,Patrick Sappa,@enzo.fiori.varese,Enzo Fiori,Varese (VA),Fiorista,primo,lista-corrente.csv
